Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Chris Taylor","LAA",50.108,175.025,155.579,33.1581,21.623,6.4322,0.638544,4.46438,18.7675,16.0016,15.0622,0.121434,56.1439,2.32681,0.966886,0.43733,2.08397,4.04497,1.20604,0.213127,0.0860573,0.320777,0.268278,0.290609,0.348765,0.283363,0.639374,0.135638,5.1424,0.299087,,0.0583589,16.4612,-4.21939,78.5637,0.0583589,0,-4.363689225167036,-0.5523368716239929,0.113367,999,,,,,,,145.3,2.906,145.3,2.906,,,,,,,,,,,,,,,,,,,"Chris Taylor","13757",621035
"David Fry","CLE",54.657,196.406,176.06,39.406,24.6052,7.92969,0.250726,6.62036,21.0966,22.6182,15.5139,0.372097,51.5872,3.20173,1.38274,0.247263,3.11026,1.64495,0.605418,0.223821,0.078989,0.262656,0.300732,0.296299,0.384517,0.297812,0.680816,0.160696,3.23611,0.274966,,-0.202473,20.7762,-2.43065,90.8802,-0.202473,0.03,-2.3136018812656403,-3.343888970091939,0.112798,999,,,,,,,189.4,3.443636363,189.4,3.443636363,,,,,,,,,,,,,,,,,,,"David Fry","24934",681807
"Tim Tawa","ARI",49.868,185.332,169.394,38.6147,25.6265,7.80302,0.618661,4.56657,20.3015,19.6738,12.907,0.0399928,47.5561,1.3246,1.23574,0.470737,3.23678,3.30968,1.08557,0.227958,0.0696427,0.2566,0.271406,0.28587,0.362202,0.284166,0.648072,0.134244,4.65576,0.287309,,-0.0454918,17.5515,-4.34695,79.264,-0.0454918,0.15,-4.600302342325449,-0.4913065731525421,0.109928,999,,,,,,,170.2,3.404,170.2,3.404,,,,,,,,,,,,,,,,,,,"Tim Tawa","29571",694374
"Myles Straw","TOR",47.432,158.504,142.756,33.9737,25.783,5.64958,0.854945,1.68612,17.7982,11.117,11.4982,0.42697,29.8391,0.606753,1.18682,2.45635,2.61989,6.31383,1.29983,0.237984,0.0725418,0.188255,0.385339,0.295285,0.324971,0.274435,0.620256,0.0869864,6.04366,0.287211,,0.483157,13.7584,-4.97006,74.1953,0.483157,1.12,-4.337562918663025,-0.06242167949676514,0.107987,999,,,,,,,133.9,2.84893617,133.9,2.84893617,,,,,,,,,,,,,,,,,,,"Myles Straw","17620",664702
"Kyle Isbel","KCR",117.42,441.706,399.363,90.1768,64.146,15.6765,4.02162,6.33274,47.2917,33.8316,28.1683,0.562292,87.2755,3.88649,2.74204,7.54662,8.38002,10.1087,2.35574,0.225802,0.0637717,0.197587,0.322752,0.281536,0.332767,0.270757,0.614303,0.106965,6.21844,0.271783,,0.425647,37.0218,-15.1692,68.0412,0.425647,0.25,-16.212150931358337,2.062036871910095,0.107703,999,,,,,,,340,2.905982905,340,2.905982905,,,,,,,,,,,,,,,,,,,"Kyle Isbel","21614",664728
"Jorge Mateo","ATL",47.812,164.891,152.271,34.0706,22.3321,7.12257,1.28874,3.32718,22.2885,12.2334,8.36744,0.203337,44.3657,1.23145,1.00651,1.66599,1.42384,13.0421,2.87967,0.22375,0.0507453,0.269061,0.188601,0.268114,0.353004,0.270349,0.621118,0.129254,8.29024,0.291174,,1.2197,13.7658,-5.71735,70.3118,1.2197,-0.25,-4.5822694301605225,0.13648733496665955,0.106424,999,,,,,,,135.9,2.83125,135.9,2.83125,,,,,,,,,,,,,,,,,,,"Jorge Mateo","17273",622761
"Paul DeJong","NYY",17.854,67.758,61.8533,12.6864,7.6214,2.34638,0.0565727,2.66201,6.9752,7.90578,3.92942,0.00294612,21.3919,0.883516,0.5285,0.0730899,0.808851,0.645192,0.242249,0.205104,0.0579919,0.31571,0.183687,0.260426,0.37398,0.275764,0.634406,0.168876,3.47894,0.261542,,-0.0522347,5.95465,-2.05148,75.6357,-0.0522347,0.02,-1.9979812800884247,0.6628909297287464,0.102009,999,,,,,,,61.7,3.427777777,61.7,3.427777777,,,,,,,,,,,,,,,,,,,"Paul DeJong","18015",657557
"Michael Conforto","CHC",41.604,161.119,140.608,30.544,19.6489,5.89557,0.294944,4.70458,17.2627,17.8164,16.8098,0.438785,40.5535,2.48636,0.990278,0.22501,3.08174,0.258295,0.089771,0.217229,0.104331,0.251699,0.414509,0.30977,0.36373,0.29845,0.6735,0.146501,2.45204,0.268212,,-0.23931,17.1269,-1.91058,91.8251,-0.23931,-0.65,-1.8003916591405869,-2.576111078262329,0.100672,999,,,,,,,154,3.666666666,154,3.666666666,,,,,,,,,,,,,,,,,,,"Michael Conforto","16376",624424
"Brett Harris","ATH",46.412,167.352,150.706,34.4614,24.2879,6.52118,0.355662,3.29666,17.7091,14.7015,12.5636,0.105613,36.0809,2.28706,0.920833,0.874711,3.50203,2.25744,0.738958,0.228667,0.0750727,0.215599,0.348205,0.296209,0.342282,0.283356,0.638491,0.113615,4.07952,0.277639,,-0.108811,15.7386,-4.03537,76.9175,-0.108811,-0.01,-4.661683022975922,-0.15324693359434605,0.0966909,999,,,,,,,133.9,2.910869565,133.9,2.910869565,,,,,,,,,,,,,,,,,,,"Brett Harris","29788",695391
"Jack Suwinski","LAD",23.501,80.038,70.2069,14.5554,8.27754,2.89232,0.341257,3.04424,10.3161,9.44607,8.29255,0.29831,24.7691,0.850807,0.530716,0.157057,0.977612,1.52202,0.436794,0.207321,0.103608,0.309466,0.334795,0.296675,0.388322,0.299194,0.684998,0.181002,5.47058,0.268173,,0.0124907,8.55634,-0.90077,91.0515,0.0124907,0,-0.8363791545853019,-0.882253110408783,0.0966088,999,,,,,,,81.7,3.404166666,81.7,3.404166666,,,,,,,,,,,,,,,,,,,"Jack Suwinski","22244",669261
