Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Miles Mikolas","WSN",6.40325,11.3513,11.2059,5.24013,25.714,25.714,0,0,,144.443,626.773,159.84,90.09,84.1,25.4369,37.8667,0.48254,5.22573,87.3232,5.44096,2.35941,2.30607,1.58493,0.139322,0.0604153,0.07890656217932701,0.273849,1.36876,0.285406,0.663912,,,5.11038,0.780844,0.0204001,999,,,,,,,387.10000000000014,2.6881944444444454,440,3.0555555555555554,,,,,,,,,,,,,,,,,,,"Miles Mikolas","9803",571945
"Orion Kerkering","PHI",2.6286,1.55505,0,3.53116,62.852,0.08,2,12.7283,,63.1578,262.056,53.1619,26.62,24.78,6.29285,19.9609,1.29323,3.539,64.7931,9.23302,2.84443,3.246,0.896733,0.247248,0.0761703,0.17107819020748138,0.222848,1.15778,0.279864,0.723072,,,3.49488,0.776123,0.608174,999,,,,,,,374.6000000000001,5.946031746031747,357,5.666666666666667,,,,,,,,,,,,,,,,,,,"Orion Kerkering","31776",689147
"Alex Vesia","LAD",3.48781,1.4041,0,3.54977,60.95,0,2,17.9778,,60.6716,247.964,44.4558,25.65,23.93,8.73337,21.864,1.51868,2.33407,74.0045,10.9778,3.2433,3.38476,1.2955,0.298449,0.0881743,0.21027449518442154,0.198671,1.09309,0.2533,0.751849,,,3.76342,0.766023,0.603651,741.8300170898438,,,,,,,384.30000000000007,6.300000000000001,346,5.672131147540983,,,,,,,,,,,,,,,,,,,"Alex Vesia","25007",681911
"Luis Gil","NYY",4.77951,5.60727,0.832685,4.53556,37.022,13.228,0,0.691,,97.2714,424.066,83.532,52.09,49.02,13.2228,50.7822,1.42561,4.68348,91.5289,8.46867,4.69861,1.80238,1.22343,0.215837,0.119751,0.09608560800552368,0.22662,1.38082,0.266476,0.710039,,,4.73104,0.745837,0.57609,352.9100036621094,,,,,,,359.5000000000001,3.7061855670103103,336,3.463917525773196,,,,,,,,,,,,,,,,,,,"Luis Gil","21052",661563
"Tyler Anderson","LAA",5.04336,6.67437,4.55857,4.74529,17.584,14.897,0,0,,83.9632,361.581,79.5127,47.36,44.27,13.6097,31.7429,0.74799,3.1645,66.2966,7.10633,3.40252,2.08855,1.45883,0.183352,0.0877892,0.09556286036968231,0.243401,1.32505,0.267065,0.692996,,,4.91039,0.738739,0.499665,999,,,,,,,268.40000000000003,3.1952380952380954,265,3.1547619047619047,,,,,,,,,,,,,,,,,,,"Tyler Anderson","12880",542881
"Hurston Waldrep","ATL",3.77646,4.00318,4.04389,4.55891,10.768,10.468,0,0,,57.9217,250.426,57.6898,31.27,29.34,6.3787,22.4526,0.228244,2.14528,48.6895,7.56548,3.48873,2.16855,0.991136,0.194427,0.0896577,0.10476921498775482,0.255459,1.38363,0.300487,0.686292,,,4.15958,0.737158,0.50013,701.8499755859375,,,,,,,230.60000000000002,3.9758620689655175,238,4.103448275862069,,,,,,,,,,,,,,,,,,,"Hurston Waldrep","33527",694462
"Andrew Kittredge","BAL",3.02118,1.77297,0,3.52047,62.389,0,7,11.9401,,63.9886,261.051,55.6979,26.77,25.03,7.28282,16.0553,1.22249,1.5518,63.8351,8.97841,2.25818,3.97595,1.02433,0.244531,0.0615027,0.1830286979675293,0.228792,1.12134,0.280951,0.730754,,,3.445,0.731778,0.6623,741.6300048828125,,,,,,,398.9,6.2328125,386,6.03125,,,,,,,,,,,,,,,,,,,"Andrew Kittredge","12828",552640
"Tyler Holton","DET",2.61913,1.95358,0,3.44161,62.415,0.541,1,13.7777,,68.6714,279.994,59.5979,28.25,26.26,7.21267,16.3277,1.20302,2.48111,55.4464,7.26675,2.13989,3.39585,0.945284,0.198027,0.0583143,0.1397126354277134,0.228182,1.10564,0.26387,0.724246,,,3.7074,0.730137,0.881824,999,,,,,,,385.5,5.586956521739131,371,5.3768115942028984,,,,,,,,,,,,,,,,,,,"Tyler Holton","26231",663947
"Anthony Kay","CHW",6.49424,9.93318,8.51206,5.17945,23.018,21.8,0,0.5829,,121.652,538.325,123.708,74.83,70.01,18.8386,53.5977,0.608017,6.36765,96.2127,7.11796,3.96524,1.79509,1.39371,0.178726,0.099564,0.07916225492954254,0.258608,1.45748,0.288651,0.678954,,,5.04528,0.730071,0.11964,999,,,,,,,362.70000000000016,2.9729508196721324,379,3.1065573770491803,,,,,,,,,,,,,,,,,,,"Anthony Kay","20387",641743
"Trevor Megill","MIL",2.97337,1.8688,0,3.78969,60.689,0,20,8.9471,,62.5539,260.05,51.3466,28.22,26.34,8.13769,21.4032,1.62516,2.05882,71.5896,10.3,3.07941,3.34481,1.17082,0.275292,0.0823042,0.1929873749613762,0.21703,1.16299,0.27546,0.725749,,,3.66263,0.729375,0.504884,140.27999877929688,,,,,,,446.20000000000005,7.082539682539683,422,6.698412698412699,,,,,,,,,,,,,,,,,,,"Trevor Megill","17722",656730
"Kyle Freeland","COL",6.95302,12.1586,13.0008,5.87016,27.582,27.582,0,0,,158.316,701.367,194.258,111.15,103.26,31.3368,38.9946,0.63045,5.18189,115.35,6.55744,2.21678,2.9581,1.78145,0.164464,0.055598,0.10886619612574577,0.295589,1.47334,0.319138,0.644746,,,5.08825,0.729281,-1.07052,999,,,,,,,381.5000000000001,2.4145569620253173,485,3.069620253164557,,,,,,,,,,,,,,,,,,,"Kyle Freeland","16256",607536
"Logan Allen","CLE",5.95685,9.69792,6.42852,5.08176,24.928,21.316,0,0.6803,,117.668,515.422,120.541,71.42,66.44,19.9471,45.3973,0.815218,5.39116,92.1553,7.04863,3.47227,2.02998,1.52568,0.178796,0.0880779,0.09071804583072662,0.259432,1.41022,0.285347,0.684854,,,5.06741,0.726741,0.222874,999,,,,,,,350.6,2.9711864406779664,368,3.1186440677966103,,,,,,,,,,,,,,,,,,,"Logan Allen","27589",671106
"Aaron Ashby","MIL",2.77209,1.66348,0,3.3339,55.738,0.406,1,13.2076,,67.1105,284.177,54.435,26.63,24.86,4.3052,30.36,1.53008,5.10727,71.5517,9.59559,4.07149,2.35678,0.577358,0.251786,0.106835,0.14495087414979935,0.21887,1.26351,0.290014,0.738437,,,3.42221,0.721783,0.825543,999,,,,,,,402.19999999999993,6.0029850746268645,379,5.656716417910448,,,,,,,,,,,,,,,,,,,"Aaron Ashby","23550",676879
"Josiah Gray","WSN",5.18737,8.47641,8.61086,4.95995,19.715,19.715,0,0,,111.612,483.922,105.792,65.76,61.51,19.3193,45.9383,0.420247,4.92625,90.0416,7.26064,3.70431,1.96005,1.55784,0.186066,0.0949292,0.09113697707653046,0.24429,1.35944,0.26714,0.689509,,,5.13906,0.712143,0.39119,999,,,,,,,346.5000000000001,3.093750000000001,340,3.0357142857142856,,,,,,,,,,,,,,,,,,,"Josiah Gray","24580",680686
"Fernando Cruz","NYY",3.12173,1.48424,0,3.40156,56.72,0.065,2,15.9832,,57.8646,239.923,40.6554,23.31,21.87,6.87294,26.203,0.913206,3.06411,79.7734,12.4076,4.07549,3.04444,1.06899,0.332495,0.109214,0.2232813760638237,0.192994,1.15543,0.272418,0.760853,,,3.43934,0.707851,0.752632,999,,,,,,,383.5,6.612068965517241,346,5.9655172413793105,,,,,,,,,,,,,,,,,,,"Fernando Cruz","7048",518585
"Alek Manoah","LAA",5.08033,7.31937,7.34557,4.88009,18.178,18.178,0,0,,99.6252,433.101,96.3038,57.65,54.02,15.8964,38.3978,0.352775,7.26524,81.4269,7.35599,3.4688,2.12061,1.43606,0.188009,0.0886578,0.09935110062360764,0.248566,1.35208,0.277157,0.685228,,,4.94983,0.700431,0.437661,741.7999877929688,,,,,,,320.6,3.2060000000000004,319,3.19,,,,,,,,,,,,,,,,,,,"Alek Manoah","26410",666201
"Jonathan Cannon","CHW",3.45699,6.43841,0.953223,4.89458,30.551,13.191,0,0.5829,,92.6372,402.645,93.8554,53.95,50.38,13.7691,32.8472,1.3854,4.41068,67.9899,6.60544,3.19121,2.06988,1.33772,0.168858,0.0815785,0.08727951347827911,0.256865,1.36773,0.282363,0.677236,,,4.80609,0.698445,0.188564,999,,,,,,,300.6,3.232258064516129,312,3.3548387096774195,,,,,,,,,,,,,,,,,,,"Jonathan Cannon","31730",686563
"A.J. Minter","NYM",2.52337,1.45037,0,3.61015,47.582,0,1,13.7055,,47.9648,197.955,39.7461,20.65,19.24,5.23658,15.0421,0.942923,2.07637,53.6157,10.0603,2.82247,3.56437,0.982579,0.270848,0.0759876,0.19486000388860703,0.21979,1.14226,0.282901,0.719351,,,3.38948,0.697815,0.419057,999,,,,,,,307.70000000000005,6.410416666666667,293,6.104166666666667,,,,,,,,,,,,,,,,,,,"A.J. Minter","18655",621345
"Logan Evans","SEA",3.91504,4.13332,3.72642,4.41875,11.377,10.881,0,0,,58.3536,249.369,56.6204,30.55,28.65,7.65275,19.9148,0.254516,2.4575,45.6354,7.03844,3.07151,2.29153,1.1803,0.183003,0.0798608,0.10314236581325531,0.249432,1.31158,0.281895,0.698637,,,4.42609,0.690519,0.511502,999,,,,,,,208.60000000000008,3.5965517241379326,212,3.6551724137931036,,,,,,,,,,,,,,,,,,,"Logan Evans","33699",688138
"Camilo Doval","NYY",3.32123,1.61278,0,3.44958,61.075,0,5,13.7505,,62.0945,261.323,49.2377,25.41,23.8,4.91345,27.4981,1.55641,3.64861,66.7702,9.6777,3.98558,2.42818,0.712157,0.255508,0.105226,0.1502818763256073,0.213913,1.23579,0.279661,0.734727,,,3.51801,0.690439,0.761515,714.239990234375,,,,,,,391.9,6.320967741935483,367,5.919354838709677,,,,,,,,,,,,,,,,,,,"Camilo Doval","21992",666808
"Raisel Iglesias","ATL",2.45076,1.58862,0,3.89012,62.08,0,26,4.4493,,63.4145,263.558,58.033,29.37,27.41,8.09547,16.3483,1.44048,1.97783,65.5592,9.30438,2.3202,4.01016,1.14894,0.248746,0.062029,0.18671735003590584,0.236645,1.17294,0.291049,0.713925,,,3.59404,0.687147,0.401753,100.58000183105469,,,,,,,441.00000000000006,7.000000000000001,435,6.904761904761905,,,,,,,,,,,,,,,,,,,"Raisel Iglesias","17130",628452
