Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Tyrone Taylor","NYM",80.317,294.483,271.38,61.6414,39.9173,12.5995,2.38999,6.73467,33.3114,27.227,14.8859,0.447258,67.6334,4.96987,1.96656,1.28029,3.36634,7.9072,2.07459,0.22714,0.0505493,0.229668,0.220097,0.277955,0.36563,0.280366,0.643585,0.13849,6.27449,0.275942,,0.340212,26.9796,-7.8158,80.9457,0.340212,0.52,-6.310193985700607,-1.7110278606414795,0.181738,999,,,,,,,260.7,3.25875,260.7,3.25875,,,,,,,,,,,,,,,,,,,"Tyrone Taylor","13675",621438
"Josh Rojas","KCR",25.18,95.131,84.5391,19.5949,13.1713,4.04136,0.379664,2.00261,10.5633,9.38058,8.8955,0.186325,21.0207,0.379739,0.752515,0.439773,1.56476,1.96563,0.673626,0.231785,0.093508,0.220965,0.423179,0.305289,0.359638,0.293071,0.664926,0.127852,4.88591,0.282524,,-0.0296908,9.69691,-1.54355,83.4124,-0.0296908,0,-1.889537014067173,0.38858023285865784,0.181431,999,,,,,,,85.4,3.416,85.4,3.416,,,,,,,,,,,,,,,,,,,"Josh Rojas","19734",668942
"Eli White","ATL",33.719,116.745,107.864,25.9421,17.6244,4.10521,1.13417,3.07834,14.9565,11.4658,6.66906,0.122889,32.1891,1.27001,0.643008,0.298487,1.65068,4.25068,1.0425,0.240507,0.057125,0.275722,0.207184,0.290959,0.385212,0.294042,0.676172,0.144706,6.93789,0.312176,,0.255265,11.9922,-1.80216,86.5426,0.255265,0.59,-1.6068013310432434,-0.5085272192955017,0.180971,999,,,,,,,111.9,3.29117647,111.9,3.29117647,,,,,,,,,,,,,,,,,,,"Eli White","19346",642201
"Max Schuemann","NYY",25.793,86.915,76.6163,17.0007,12.1188,3.12616,0.282935,1.47282,9.39059,6.7759,7.4172,0.0861901,19.5845,1.48982,0.651353,0.740324,1.50529,2.27694,0.651689,0.221894,0.0853385,0.22533,0.378728,0.300642,0.327752,0.281127,0.628394,0.105858,5.10322,0.276246,,0.0502727,8.01661,-2.25307,79.3298,0.0502727,0.04,-2.06716775521636,0.8360802307724953,0.180109,999,,,,,,,61.3,2.357692307,61.3,2.357692307,,,,,,,,,,,,,,,,,,,"Max Schuemann","24488",680474
"Dominic Keegan","TBR",17.524,66.852,61.0875,13.9559,9.2338,2.86949,0.164781,1.68788,6.41519,7.46087,4.54245,0.108595,18.2132,0.673492,0.463847,0.0847168,1.16809,0.0883075,0.0239786,0.228458,0.0679478,0.27244,0.249405,0.287145,0.363718,0.284925,0.650863,0.13526,2.57306,0.294549,,-0.0868337,6.37223,-1.52685,79.9355,-0.0868337,-0.23,-1.6677718311548233,1.1221604496240616,0.179592,999,,,,,,,62.9,3.494444444,62.9,3.494444444,,,,,,,,,,,,,,,,,,,"Dominic Keegan","sa3020194",681371
"Jon Berti",,49.265,165.491,150.838,36.3676,28.1348,6.0238,0.85136,1.35771,18.9909,11.5394,11.2526,0.202281,36.7957,1.41207,0.854298,0.990524,3.30318,7.96677,2.05916,0.241103,0.067995,0.222342,0.305812,0.298327,0.319331,0.275007,0.617658,0.078227,6.23664,0.308351,,0.482082,14.4418,-5.11222,73.624,0.482082,-0.25,-4.676945835351944,0.8270382881164551,0.179151,999,,,,,,,128.7,2.626530612,128.7,2.626530612,,,,,,,,,,,,,,,,,,,"Jon Berti","12037",542932
"Otto Kemp","PHI",58.089,221.292,199.3,47.4839,29.8146,10.0722,1.00245,6.59462,25.8822,25.3859,14.7916,0.953054,61.9123,5.42018,1.55157,0.228874,3.28259,4.09962,1.16129,0.238254,0.0668419,0.279777,0.238912,0.306228,0.398118,0.306331,0.704346,0.159865,5.08557,0.308961,,0.0203921,24.9392,-1.20814,93.8211,0.0203921,-1.24,-1.6001865696161985,-4.021247625350952,0.178127,999,,,,,,,229.5,3.956896551,229.5,3.956896551,,,,,,,,,,,,,,,,,,,"Otto Kemp","31792",805249
"Masataka Yoshida","BOS",52.966,213.32,192.968,51.7766,36.4163,9.91266,0.475602,4.97206,23.7902,24.5744,15.1573,0.676574,26.7956,3.24822,1.61847,0.328472,5.60206,1.74044,0.57082,0.268318,0.0710541,0.125612,0.565662,0.329507,0.401916,0.319275,0.731422,0.133598,3.45321,0.287465,,-0.243122,26.2826,1.07723,100.284,-0.243122,-0.01,-0.17167160660028458,-5.470075378194451,0.17397,999,,,,,,,229.2,4.324528301,229.2,4.324528301,,,,,,,,,,,,,,,,,,,"Masataka Yoshida","31837",807799
"Zach Cole","HOU",88.262,341.801,307.635,62.0251,36.9603,12.1263,2.42547,10.513,39.9335,34.0875,27.4066,1.65412,136.789,4.59165,1.78212,0.385201,3.82617,7.64667,1.81005,0.201619,0.0801828,0.400199,0.200357,0.275392,0.359326,0.277199,0.634718,0.157707,6.3033,0.317748,,0.343767,30.4359,-9.95055,76.0708,0.343767,1.2,-9.296155005693436,-0.7771953344345093,0.172999,999,,,,,,,294.4,3.345454545,294.4,3.345454545,,,,,,,,,,,,,,,,,,,"Zach Cole","31583",805904
"José Tena","WSN",61.157,230.688,212.349,51.2875,36.7478,9.94084,0.877469,3.72136,23.6078,20.9383,14.5627,0.290736,59.5609,1.39199,1.34211,1.04224,4.3281,6.34934,1.94411,0.241524,0.0631272,0.258188,0.244501,0.292808,0.349177,0.282174,0.641985,0.107652,5.22644,0.316245,,0.127717,21.4737,-5.78386,78.9038,0.127717,-1.34,-5.640272095799446,-0.35427337884902954,0.171936,999,,,,,,,199.7,3.273770491,199.7,3.273770491,,,,,,,,,,,,,,,,,,,"Jose Tena","23691",677588
"Jahmai Jones","DET",44.841,142.494,125.229,30.4922,18.8203,6.69114,0.325453,4.65526,17.8614,15.3799,13.3344,0.123956,33.4983,2.16243,0.887163,0.881145,2.29863,3.07352,0.884209,0.243492,0.093579,0.235086,0.398063,0.324752,0.413643,0.32286,0.738395,0.170151,4.6033,0.293727,,0.026872,17.9711,1.13429,106.699,0.026872,0,1.1519200522452593,-4.382607936859131,0.171243,999,,,,,,,158.2,3.515555555,158.2,3.515555555,,,,,,,,,,,,,,,,,,,"Jahmai Jones","18872",663330
"Starling Marte",,60.24,236.891,214.961,55.618,39.9248,9.40255,0.785832,5.50483,29.0004,23.495,14.5056,0.190458,50.2811,4.41946,1.38327,1.62213,5.2203,7.08583,2.35717,0.258736,0.0612332,0.212254,0.28849,0.316842,0.386614,0.308631,0.703455,0.127878,5.27268,0.312119,,0.0646122,27.1397,-0.850823,96.7219,0.0646122,-0.53,-0.8532174527645111,-5.495582818984985,0.17072,999,,,,,,,251.5,4.191666666,251.5,4.191666666,,,,,,,,,,,,,,,,,,,"Starling Marte","9241",516782
"Alex Verdugo",,50.199,206.068,186.569,46.81,32.5799,9.64773,0.468794,4.1136,21.7283,21.693,16.0689,0.399055,31.0275,1.30166,1.62845,0.500016,4.60954,1.09571,0.3838,0.250899,0.0779787,0.150569,0.517893,0.312211,0.373782,0.300857,0.685993,0.122883,3.10843,0.278959,,-0.265153,22.3076,-2.0409,91.381,-0.265153,-0.63,-2.364344894886017,-2.954027771949768,0.169415,999,,,,,,,195.7,3.914,195.7,3.914,,,,,,,,,,,,,,,,,,,"Alex Verdugo","17027",657077
